"PRODUCT","DRAW NUMBER","DRAW DATE","NUMBER DRAWN 1","NUMBER DRAWN 2","NUMBER DRAWN 3","NUMBER DRAWN 4"
"DGRD",281,"2019-06-27",58,73,75,78
"DGRD",282,"2019-07-01",31,49,56,59
"DGRD",283,"2019-07-04",4,6,16,57
"DGRD",284,"2019-07-08",16,17,32,73
"DGRD",285,"2019-07-11",19,30,79,98
"DGRD",286,"2019-07-15",8,29,44,48
"DGRD",287,"2019-07-18",52,60,76,89
"DGRD",288,"2019-07-22",1,11,54,55
"DGRD",289,"2019-07-25",4,10,56,65
"DGRD",290,"2019-07-29",9,20,53,97
"DGRD",291,"2019-08-01",42,80,90,96
"DGRD",292,"2019-08-05",46,47,63,88
"DGRD",293,"2019-08-08",11,32,61,96
"DGRD",294,"2019-08-12",4,37,58,85
"DGRD",295,"2019-08-15",19,76,77,94
"DGRD",296,"2019-08-19",17,32,41,77
"DGRD",297,"2019-08-22",7,32,77,78
"DGRD",298,"2019-08-26",11,64,74,81
"DGRD",299,"2019-08-29",60,80,82,87
"DGRD",300,"2019-09-02",43,56,79,85
"DGRD",301,"2019-09-05",6,27,47,95
"DGRD",302,"2019-09-09",44,52,58,93
"DGRD",303,"2019-09-12",2,10,49,85
"DGRD",304,"2019-09-16",9,45,58,66
"DGRD",305,"2019-09-19",52,68,81,87
"DGRD",306,"2019-09-23",25,51,65,70
"DGRD",307,"2019-09-26",8,11,23,82
"DGRD",308,"2019-09-30",50,67,73,76
"DGRD",309,"2019-10-03",31,63,92,97
"DGRD",310,"2019-10-07",4,28,61,71
"DGRD",311,"2019-10-10",1,77,81,94
"DGRD",312,"2019-10-14",10,18,89,95
"DGRD",313,"2019-10-17",18,26,69,78
"DGRD",314,"2019-10-21",32,60,68,92
"DGRD",315,"2019-10-24",67,69,71,98
"DGRD",316,"2019-10-28",19,53,55,68
"DGRD",317,"2019-10-31",35,41,66,90
"DGRD",318,"2019-11-04",10,21,35,83
"DGRD",319,"2019-11-07",30,38,81,93
"DGRD",320,"2019-11-11",21,24,32,71
"DGRD",321,"2019-11-14",17,55,58,64
"DGRD",322,"2019-11-18",43,55,84,98
"DGRD",323,"2019-11-21",10,13,31,66
"DGRD",324,"2019-11-25",13,44,77,80
"DGRD",325,"2019-11-28",16,33,40,70
"DGRD",326,"2019-12-02",21,57,77,84
"DGRD",327,"2019-12-05",1,53,54,83
"DGRD",328,"2019-12-09",4,21,62,92
"DGRD",329,"2019-12-12",3,11,23,34
"DGRD",330,"2019-12-16",13,23,27,86
"DGRD",331,"2019-12-19",17,42,44,96
"DGRD",332,"2019-12-23",21,24,33,55
"DGRD",333,"2019-12-26",3,7,50,51
"DGRD",334,"2019-12-30",34,71,72,82
"DGRD",335,"2020-01-02",68,86,90,96
"DGRD",336,"2020-01-06",5,44,53,62
"DGRD",337,"2020-01-09",32,43,62,63
"DGRD",338,"2020-01-13",4,37,73,93
"DGRD",339,"2020-01-16",19,26,53,93
"DGRD",340,"2020-01-20",32,40,44,86
"DGRD",341,"2020-01-23",49,69,92,99
"DGRD",342,"2020-01-27",3,5,69,88
"DGRD",343,"2020-01-30",19,40,73,95
"DGRD",344,"2020-02-03",35,68,83,93
"DGRD",345,"2020-02-06",8,39,79,82
"DGRD",346,"2020-02-10",20,31,35,45
"DGRD",347,"2020-02-13",12,50,55,91
"DGRD",348,"2020-02-17",8,14,18,33
"DGRD",349,"2020-02-20",30,44,57,76
"DGRD",350,"2020-02-24",28,41,62,86
"DGRD",351,"2020-02-27",15,26,46,70
"DGRD",352,"2020-03-02",19,45,54,90
"DGRD",353,"2020-03-05",8,29,46,69
"DGRD",354,"2020-03-09",7,41,84,93
"DGRD",355,"2020-03-12",23,47,75,91
"DGRD",356,"2020-03-16",26,36,44,87
"DGRD",357,"2020-03-19",8,17,65,82
"DGRD",358,"2020-03-23",18,40,46,78
"DGRD",359,"2020-03-26",2,54,77,83
"DGRD",360,"2020-03-30",7,47,63,89
"DGRD",361,"2020-04-02",10,34,60,79
"DGRD",362,"2020-04-06",51,55,69,86
"DGRD",363,"2020-04-09",24,26,82,85
"DGRD",364,"2020-04-13",4,32,38,99
"DGRD",365,"2020-04-16",1,15,54,82
"DGRD",366,"2020-04-20",22,42,65,91
"DGRD",367,"2020-04-23",24,54,71,93
"DGRD",368,"2020-04-27",54,70,71,74
"DGRD",369,"2020-04-30",15,45,75,78
"DGRD",370,"2020-05-04",36,45,51,72
"DGRD",371,"2020-05-07",9,39,74,81
"DGRD",372,"2020-05-11",29,34,94,96
"DGRD",373,"2020-05-14",21,61,89,98
"DGRD",374,"2020-05-18",2,26,55,66
"DGRD",375,"2020-05-21",44,57,75,90
"DGRD",376,"2020-05-25",7,43,59,81
"DGRD",377,"2020-05-28",42,50,81,95
"DGRD",378,"2020-06-01",37,87,92,96
"DGRD",379,"2020-06-04",7,16,56,91
"DGRD",380,"2020-06-08",11,14,63,79
"DGRD",381,"2020-06-11",1,6,18,23
"DGRD",382,"2020-06-15",22,41,70,77
"DGRD",383,"2020-06-18",2,33,34,98
"DGRD",384,"2020-06-22",25,34,57,81
"DGRD",385,"2020-06-25",10,20,75,89
"DGRD",386,"2020-06-29",3,21,68,80
"DGRD",387,"2020-07-02",25,32,55,95
"DGRD",388,"2020-07-06",13,16,24,90
"DGRD",389,"2020-07-09",31,90,95,96
"DGRD",390,"2020-07-13",4,47,60,90
"DGRD",391,"2020-07-16",36,41,44,74
"DGRD",392,"2020-07-20",39,41,79,92
"DGRD",393,"2020-07-23",14,16,43,86
"DGRD",394,"2020-07-27",22,45,54,99
"DGRD",395,"2020-07-30",16,32,49,75
"DGRD",396,"2020-08-03",13,23,30,65
"DGRD",397,"2020-08-06",19,30,52,77
"DGRD",398,"2020-08-10",7,31,46,47
"DGRD",399,"2020-08-13",2,39,59,83
"DGRD",400,"2020-08-17",23,67,68,97
"DGRD",401,"2020-08-20",7,20,79,88
"DGRD",402,"2020-08-24",40,76,86,88
"DGRD",403,"2020-08-27",7,32,48,75
"DGRD",404,"2020-08-31",10,65,69,82
"DGRD",405,"2020-09-03",37,48,58,61
"DGRD",406,"2020-09-07",5,26,65,69
"DGRD",407,"2020-09-10",7,37,54,65
"DGRD",408,"2020-09-14",24,66,74,86
"DGRD",409,"2020-09-17",6,65,77,97
"DGRD",410,"2020-09-21",31,35,61,77
"DGRD",411,"2020-09-24",40,44,57,71
"DGRD",412,"2020-09-28",2,5,64,86
"DGRD",413,"2020-10-01",27,39,71,93
"DGRD",414,"2020-10-05",7,33,73,76
"DGRD",415,"2020-10-08",5,22,72,80
"DGRD",416,"2020-10-12",39,42,57,78
"DGRD",417,"2020-10-15",9,29,68,83
"DGRD",418,"2020-10-19",44,45,60,81
"DGRD",419,"2020-10-22",9,21,47,90
"DGRD",420,"2020-10-26",44,59,72,97
"DGRD",421,"2020-10-29",40,41,66,96
"DGRD",422,"2020-11-02",5,10,12,44
"DGRD",423,"2020-11-05",7,11,47,94
"DGRD",424,"2020-11-09",37,41,47,68
"DGRD",425,"2020-11-12",2,11,20,61
"DGRD",426,"2020-11-16",11,58,77,91
"DGRD",427,"2020-11-19",14,26,44,93
"DGRD",428,"2020-11-23",25,49,61,66
"DGRD",429,"2020-11-26",12,45,58,78
"DGRD",430,"2020-11-30",30,63,80,95
"DGRD",431,"2020-12-03",54,56,79,94
"DGRD",432,"2020-12-07",58,83,92,97
"DGRD",433,"2020-12-10",9,29,79,89
"DGRD",434,"2020-12-14",42,59,73,99
"DGRD",435,"2020-12-17",6,19,36,55
"DGRD",436,"2020-12-21",3,24,28,67
"DGRD",437,"2020-12-24",2,6,30,51
"DGRD",438,"2020-12-28",33,60,71,81
"DGRD",439,"2020-12-31",7,15,49,70
"DGRD",440,"2021-01-04",58,64,90,94
"DGRD",441,"2021-01-07",34,55,62,86
"DGRD",442,"2021-01-11",23,31,62,97
"DGRD",443,"2021-01-14",5,11,48,94
"DGRD",444,"2021-01-18",29,40,57,69
"DGRD",445,"2021-01-21",24,51,69,96
"DGRD",446,"2021-01-25",59,62,80,89
"DGRD",447,"2021-01-28",18,59,60,64
"DGRD",448,"2021-02-01",15,29,92,98
